358,303,309;310,358,309;310,309,303;303,358,310
249,255,226;250,249,226;250,226,255;255,249,250
249,283,226;255,249,226;255,226,283;283,249,255
390,171,172;142,390,172;142,172,171;171,390,142
171,390,172;336,171,172;336,172,390;390,171,336
424,415,128;100,424,128;100,128,415;415,424,100
306,260,266;267,306,266;267,266,260;260,306,267
274,306,266;267,274,266;267,266,306;306,274,267
400,346,347;339,400,347;339,347,346;346,400,339
306,272,265;298,306,265;298,265,272;272,306,298
266,306,265;260,266,265;260,265,306;306,266,260
148,176,383;150,148,383;150,383,176;176,148,150
148,333,383;176,148,383;176,383,333;333,148,176
150,176,383;326,150,383;326,383,176;176,150,326
176,333,383;326,176,383;326,383,333;333,176,326
376,150,383;326,376,383;326,383,150;150,376,326
360,123,152;154,360,152;154,152,123;123,360,154
376,319,152;178,376,152;178,152,319;319,376,178
360,319,152;376,360,152;376,152,319;319,360,376
123,360,152;376,123,152;376,152,360;360,123,376
150,376,152;178,150,152;178,152,376;376,150,178
123,376,152;150,123,152;150,152,376;376,123,150
188,212,209;339,188,209;339,209,212;212,188,339
124,382,433;440,124,433;440,433,382;382,124,440
382,432,433;440,382,433;440,433,432;432,382,440
495,124,433;440,495,433;440,433,124;124,495,440
432,495,433;440,432,433;440,433,495;495,432,440
368,432,433;382,368,433;382,433,432;432,368,382
495,432,433;481,495,433;481,433,432;432,495,481
96,495,433;481,96,433;481,433,495;495,96,481
96,124,433;495,96,433;495,433,124;124,96,495
368,424,433;423,368,433;423,433,424;424,368,423
432,368,433;423,432,433;423,433,368;368,432,423
96,481,433;126,96,433;126,433,481;481,96,126
124,96,433;126,124,433;126,433,96;96,124,126
481,424,433;126,481,433;126,433,424;424,481,126
424,481,433;423,424,433;423,433,481;481,424,423
481,432,433;423,481,433;423,433,432;432,481,423
230,278,271;204,230,271;204,271,278;278,230,204
389,440,447;381,389,447;381,447,440;440,389,381
501,494,447;440,501,447;440,447,494;494,501,440
501,116,447;446,501,447;446,447,116;116,501,446
91,501,447;440,91,447;440,447,501;501,91,440
116,501,447;91,116,447;91,447,501;501,116,91
336,388,337;170,336,337;170,337,388;388,336,170
170,388,337;143,170,337;143,337,388;388,170,143
388,389,337;143,388,337;143,337,389;389,388,143
175,170,337;143,175,337;143,337,170;170,175,143
389,175,337;143,389,337;143,337,175;175,389,143
292,197,337;290,292,337;290,337,197;197,292,290
197,175,337;290,197,337;290,337,175;175,197,290
197,170,337;175,197,337;175,337,170;170,197,175
389,149,332;175,389,332;175,332,149;149,389,175
149,389,332;382,149,332;382,332,389;389,149,382
175,200,332;290,175,332;290,332,200;200,175,290
337,175,332;290,337,332;290,332,175;175,337,290
337,389,332;175,337,332;175,332,389;389,337,175
331,337,332;290,331,332;290,332,337;337,331,290
389,337,332;331,389,332;331,332,337;337,389,331
389,331,332;381,389,332;381,332,331;331,389,381
382,389,332;381,382,332;381,332,389;389,382,381
579,43,574;547,579,574;547,574,43;43,579,547
583,557,32;5,583,32;5,32,557;557,583,5
557,556,33;27,557,33;27,33,556;556,557,27
556,34,33;27,556,33;27,33,34;34,556,27
5,557,33;27,5,33;27,33,557;557,5,27
32,557,33;5,32,33;5,33,557;557,32,5
556,34,29;550,556,29;550,29,34;34,556,550
34,53,29;550,34,29;550,29,53;53,34,550
548,58,59;82,548,59;82,59,58;58,548,82
504,548,59;82,504,59;82,59,548;548,504,82
83,504,59;82,83,59;82,59,504;504,83,82
98,528,71;481,98,71;481,71,528;528,98,481
116,86,113;446,116,113;446,113,86;86,116,446
424,100,157;126,424,157;126,157,100;100,424,126
424,128,157;100,424,157;100,157,128;128,424,100
187,304,161;185,187,161;185,161,304;304,187,185
358,351,345;405,358,345;405,345,351;351,358,405
351,358,345;304,351,345;304,345,358;358,351,304
351,398,345;405,351,345;405,345,398;398,351,405
161,187,345;304,161,345;304,345,187;187,161,304
465,414,406;405,465,406;405,406,414;414,465,405
414,465,406;415,414,406;415,406,465;465,414,415
414,358,406;405,414,406;405,406,358;358,414,405
345,161,406;132,345,406;132,406,161;161,345,132
358,345,406;405,358,406;405,406,345;345,358,405
345,358,406;304,345,406;304,406,358;358,345,304
161,345,406;304,161,406;304,406,345;345,161,304
161,304,406;185,161,406;185,406,304;304,161,185
159,161,406;185,159,406;185,406,161;161,159,185
465,406,399;405,465,399;405,399,406;406,465,405
345,398,399;405,345,399;405,399,398;398,345,405
406,345,399;405,406,399;405,399,345;345,406,405
345,406,399;132,345,399;132,399,406;406,345,132
574,579,9;43,574,9;43,9,579;579,574,43
432,488,479;423,432,479;423,479,488;488,432,423
351,358,404;405,351,404;405,404,358;358,351,405
504,461,510;454,504,510;454,510,461;461,504,454
58,548,505;82,58,505;82,505,548;548,58,82
58,549,505;548,58,505;548,505,549;549,58,548
548,504,505;82,548,505;82,505,504;504,548,82
549,510,505;548,549,505;548,505,510;510,549,548
510,504,505;548,510,505;548,505,504;504,510,548
504,510,505;454,504,505;454,505,510;510,504,454
510,455,505;454,510,505;454,505,455;455,510,454
579,10,6;578,579,6;578,6,10;10,579,578
9,10,6;579,9,6;579,6,10;10,9,579
510,505,511;549,510,511;549,511,505;505,510,549
505,510,511;455,505,511;455,511,510;510,505,455
197,292,216;290,197,216;290,216,292;292,197,290
199,201,286;326,199,286;326,286,201;201,199,326
223,201,286;199,223,286;199,286,201;201,223,199
333,199,286;326,333,286;326,286,199;199,333,326
333,291,286;199,333,286;199,286,291;291,333,199
291,174,218;199,291,218;199,218,174;174,291,199
291,196,218;174,291,218;174,218,196;196,291,174
223,286,218;199,223,218;199,218,286;286,223,199
286,291,218;199,286,218;199,218,291;291,286,199
363,364,314;321,363,314;321,314,364;364,363,321
364,315,314;321,364,314;321,314,315;315,364,321
313,321,314;274,313,314;274,314,321;321,313,274
321,315,314;274,321,314;274,314,315;315,321,274
306,313,314;274,306,314;274,314,313;313,306,274
306,274,314;267,306,314;267,314,274;274,306,267
274,315,314;267,274,314;267,314,315;315,274,267
363,409,314;355,363,314;355,314,409;409,363,355
360,416,425;154,360,425;154,425,416;416,360,154
123,360,425;154,123,425;154,425,360;360,123,154
370,319,369;376,370,369;376,369,319;319,370,376
319,360,369;376,319,369;376,369,360;360,319,376
319,370,369;312,319,369;312,369,370;370,319,312
360,319,369;312,360,369;312,369,319;319,360,312
425,360,369;416,425,369;416,369,360;360,425,416
152,319,180;178,152,180;178,180,319;319,152,178
319,360,180;305,319,180;305,180,360;360,319,305
152,360,180;319,152,180;319,180,360;360,152,319
321,313,320;274,321,320;274,320,313;313,321,274
370,313,320;321,370,320;321,320,313;313,370,321
370,319,320;313,370,320;313,320,319;319,370,313
319,272,320;313,319,320;313,320,272;272,319,313
319,370,320;326,319,320;326,320,370;370,319,326
291,174,384;173,291,384;173,384,174;174,291,173
291,333,384;174,291,384;174,384,333;333,291,174
174,147,384;173,174,384;173,384,147;147,174,173
333,148,384;174,333,384;174,384,148;148,333,174
148,147,384;174,148,384;174,384,147;147,148,174
380,379,437;386,380,437;386,437,379;379,380,386
372,379,437;380,372,437;380,437,379;379,372,380
388,113,450;446,388,450;446,450,113;113,388,446
390,144,450;388,390,450;388,450,144;144,390,388
144,113,450;388,144,450;388,450,113;113,144,388
388,450,445;446,388,445;446,445,450;450,388,446
390,450,445;388,390,445;388,445,450;450,390,388
450,390,445;444,450,445;444,445,390;390,450,444
444,390,445;386,444,445;386,445,390;390,444,386
437,444,445;386,437,445;386,445,444;444,437,386
498,540,499;546,498,499;546,499,540;540,498,546
498,493,499;540,498,499;540,499,493;493,498,540
445,493,499;498,445,499;498,499,493;493,445,498
379,372,371;321,379,371;321,371,372;372,379,321
372,363,371;321,372,371;321,371,363;363,372,321
216,292,289;290,216,289;290,289,292;292,216,290
284,283,289;225,284,289;225,289,283;283,284,225
289,284,323;283,289,323;283,323,284;284,289,283
284,289,323;290,284,323;290,323,289;289,284,290
278,230,224;204,278,224;204,224,230;230,278,204
224,278,277;230,224,277;230,277,278;278,224,230
224,284,277;278,224,277;278,277,284;284,224,278
271,270,277;230,271,277;230,277,270;270,271,230
278,271,277;230,278,277;230,277,271;271,278,230
578,577,7;581,578,7;581,7,577;577,578,581
6,578,7;581,6,7;581,7,578;578,6,581
577,578,571;581,577,571;581,571,578;578,577,581
539,577,571;581,539,571;581,571,577;577,539,581
577,587,571;578,577,571;578,571,587;587,577,578
587,577,571;570,587,571;570,571,577;577,587,570
540,533,571;539,540,571;539,571,533;533,540,539
578,540,571;581,578,571;581,571,540;540,578,581
540,539,571;581,540,571;581,571,539;539,540,581
253,252,261;237,253,261;237,261,252;252,253,237
246,252,261;262,246,261;262,261,252;252,246,262
260,300,261;267,260,261;267,261,300;300,260,267
266,253,261;237,266,261;237,261,253;253,266,237
300,268,261;267,300,261;267,261,268;268,300,267
300,262,261;268,300,261;268,261,262;262,300,268
266,260,261;267,266,261;267,261,260;260,266,267
253,266,261;267,253,261;267,261,266;266,253,267
