2012,1908,2028;2012,1908,1893;2012,2028,1893;1893,1908,2028
2012,2028,2013;2012,2028,1893;2012,2013,1893;1893,2028,2013
2012,2027,2028;2012,2027,1907;2012,2028,1907;1907,2027,2028
2012,2028,1908;2012,2028,1907;2012,1908,1907;1907,2028,1908
2012,1908,1893;2012,1908,1907;2012,1893,1907;1907,1908,1893
2012,108,2027;2012,108,107;2012,2027,107;107,108,2027
2012,92,108;2012,92,107;2012,108,107;107,92,108
2012,93,2013;2012,93,108;2012,2013,108;108,93,2013
2012,2013,2028;2012,2013,108;2012,2028,108;108,2013,2028
2012,108,2028;2012,108,2027;2012,2028,2027;2027,108,2028
2012,93,108;2012,93,92;2012,108,92;92,93,108
469,589,573;469,589,574;469,573,574;574,589,573
469,588,573;469,588,589;469,573,589;589,588,573
469,573,588;469,573,468;469,588,468;468,573,588
469,453,573;469,453,468;469,573,468;468,453,573
469,573,453;469,573,574;469,453,574;574,573,453
469,453,454;469,453,574;469,454,574;574,453,454
94,108,109;94,108,2029;94,109,2029;2029,108,109
94,2028,2013;94,2028,108;94,2013,108;108,2028,2013
94,2013,2028;94,2013,2029;94,2028,2029;2029,2013,2028
94,2028,108;94,2028,2029;94,108,2029;2029,2028,108
94,2013,93;94,2013,108;94,93,108;108,2013,93
94,2014,2013;94,2014,2029;94,2013,2029;2029,2014,2013
440,561,560;440,561,545;440,560,545;545,561,560
440,426,546;440,426,425;440,546,425;425,426,546
440,425,546;440,425,545;440,546,545;545,425,546
440,561,546;440,561,441;440,546,441;441,561,546
440,546,561;440,546,545;440,561,545;545,546,561
440,546,426;440,546,441;440,426,441;441,546,426
2030,95,110;2030,95,109;2030,110,109;109,95,110
2030,94,2014;2030,94,95;2030,2014,95;95,94,2014
2030,2014,2015;2030,2014,95;2030,2015,95;95,2014,2015
2030,2014,109;2030,2014,2029;2030,109,2029;2029,2014,109
2030,94,95;2030,94,109;2030,95,109;109,94,95
2030,2014,94;2030,2014,109;2030,94,109;109,2014,94
1894,1879,1880;1894,1879,1999;1894,1880,1999;1999,1879,1880
1894,2015,1880;1894,2015,1895;1894,1880,1895;1895,2015,1880
1894,2015,2014;1894,2015,1999;1894,2014,1999;1999,2015,2014
1894,1880,2000;1894,1880,1999;1894,2000,1999;1999,1880,2000
1894,2000,1880;1894,2000,2015;1894,1880,2015;2015,2000,1880
1894,2000,2015;1894,2000,1999;1894,2015,1999;1999,2000,2015
1894,1909,2029;1894,1909,1910;1894,2029,1910;1910,1909,2029
1894,1910,2015;1894,1910,1895;1894,2015,1895;1895,1910,2015
1894,2014,2015;1894,2014,2029;1894,2015,2029;2029,2014,2015
1894,2030,2015;1894,2030,1910;1894,2015,1910;1910,2030,2015
1894,2015,2030;1894,2015,2029;1894,2030,2029;2029,2015,2030
1894,2029,2030;1894,2029,1910;1894,2030,1910;1910,2029,2030
1894,1998,1878;1894,1998,1999;1894,1878,1999;1999,1998,1878
1894,1998,1893;1894,1998,1878;1894,1893,1878;1878,1998,1893
1894,1878,1879;1894,1878,1999;1894,1879,1999;1999,1878,1879
1894,2013,1998;1894,2013,1999;1894,1998,1999;1999,2013,1998
1894,2013,1893;1894,2013,1998;1894,1893,1998;1998,2013,1893
1894,2014,2013;1894,2014,1999;1894,2013,1999;1999,2014,2013
1894,2028,2013;1894,2028,2029;1894,2013,2029;2029,2028,2013
1894,2013,2028;1894,2013,1893;1894,2028,1893;1893,2013,2028
1894,1909,2028;1894,1909,2029;1894,2028,2029;2029,1909,2028
1894,2028,1908;1894,2028,1893;1894,1908,1893;1893,2028,1908
1894,2013,2014;1894,2013,2029;1894,2014,2029;2029,2013,2014
1894,1908,2028;1894,1908,1909;1894,2028,1909;1909,1908,2028
211,105,226;211,105,106;211,226,106;106,105,226
211,91,105;211,91,106;211,105,106;106,91,105
211,210,225;211,210,105;211,225,105;105,210,225
211,90,210;211,90,105;211,210,105;105,90,210
211,105,225;211,105,226;211,225,226;226,105,225
211,91,90;211,91,105;211,90,105;105,91,90
77,106,226;77,106,212;77,226,212;212,106,226
77,92,106;77,92,212;77,106,212;212,92,106
77,91,226;77,91,106;77,226,106;106,91,226
77,226,197;77,226,212;77,197,212;212,226,197
77,211,197;77,211,226;77,197,226;226,211,197
77,91,211;77,91,226;77,211,226;226,91,211
345,360,240;345,360,359;345,240,359;359,360,240
345,359,239;345,359,344;345,239,344;344,359,239
345,240,239;345,240,359;345,239,359;359,240,239
345,239,224;345,239,344;345,224,344;344,239,224
345,224,239;345,224,240;345,239,240;240,224,239
345,225,224;345,225,240;345,224,240;240,225,224
345,329,209;345,329,330;345,209,330;330,329,209
345,209,210;345,209,330;345,210,330;330,209,210
345,209,329;345,209,344;345,329,344;344,209,329
345,224,210;345,224,209;345,210,209;209,224,210
345,224,209;345,224,344;345,209,344;344,224,209
345,224,225;345,224,210;345,225,210;210,224,225
1392,1497,1377;1392,1497,1498;1392,1377,1498;1498,1497,1377
1392,1393,1513;1392,1393,1498;1392,1513,1498;1498,1393,1513
1392,1498,1513;1392,1498,1512;1392,1513,1512;1512,1498,1513
1392,1497,1498;1392,1497,1512;1392,1498,1512;1512,1497,1498
1392,1377,1378;1392,1377,1498;1392,1378,1498;1498,1377,1378
1392,1378,1393;1392,1378,1498;1392,1393,1498;1498,1378,1393
1528,1409,1544;1528,1409,1529;1528,1544,1529;1529,1409,1544
1528,1424,1423;1528,1424,1543;1528,1423,1543;1543,1424,1423
1528,1424,1543;1528,1424,1544;1528,1543,1544;1544,1424,1543
1528,1409,1424;1528,1409,1544;1528,1424,1544;1544,1409,1424
1528,1408,1424;1528,1408,1409;1528,1424,1409;1409,1408,1424
1528,1423,1424;1528,1423,1408;1528,1424,1408;1408,1423,1424
1528,1393,1513;1528,1393,1512;1528,1513,1512;1512,1393,1513
1528,1393,1392;1528,1393,1407;1528,1392,1407;1407,1393,1392
1528,1393,1407;1528,1393,1408;1528,1407,1408;1408,1393,1407
1528,1527,1407;1528,1527,1512;1528,1407,1512;1512,1527,1407
1528,1392,1393;1528,1392,1512;1528,1393,1512;1512,1392,1393
1528,1407,1392;1528,1407,1512;1528,1392,1512;1512,1407,1392
1528,1423,1422;1528,1423,1543;1528,1422,1543;1543,1423,1422
1528,1542,1422;1528,1542,1407;1528,1422,1407;1407,1542,1422
1528,1407,1422;1528,1407,1408;1528,1422,1408;1408,1407,1422
1528,1543,1422;1528,1543,1542;1528,1422,1542;1542,1543,1422
1528,1422,1423;1528,1422,1408;1528,1423,1408;1408,1422,1423
1528,1527,1542;1528,1527,1407;1528,1542,1407;1407,1527,1542
565,700,580;565,700,2043;565,580,2043;2043,700,580
565,685,700;565,685,2043;565,700,2043;2043,685,700
460,445,565;460,445,2043;460,565,2043;2043,445,565
460,565,580;460,565,2043;460,580,2043;2043,565,580
460,325,445;460,325,2043;460,445,2043;2043,325,445
460,340,325;460,340,2043;460,325,2043;2043,340,325
460,580,595;460,580,2043;460,595,2043;2043,580,595
460,595,475;460,595,2043;460,475,2043;2043,595,475
460,355,340;460,355,2043;460,340,2043;2043,355,340
460,475,355;460,475,2043;460,355,2043;2043,475,355
460,580,566;460,580,581;460,566,581;581,580,566
460,566,445;460,566,446;460,445,446;446,566,445
460,566,446;460,566,581;460,446,581;581,566,446
460,446,461;460,446,581;460,461,581;581,446,461
460,565,445;460,565,566;460,445,566;566,565,445
460,565,566;460,565,580;460,566,580;580,565,566
460,596,580;460,596,581;460,580,581;581,596,580
460,595,580;460,595,596;460,580,596;596,595,580
460,476,596;460,476,581;460,596,581;581,476,596
460,476,595;460,476,596;460,595,596;596,476,595
460,475,595;460,475,476;460,595,476;476,475,595
460,461,476;460,461,581;460,476,581;581,461,476
666,680,560;666,680,545;666,560,545;545,680,560
666,560,561;666,560,545;666,561,545;545,560,561
666,561,560;666,561,680;666,560,680;680,561,560
666,561,546;666,561,545;666,546,545;545,561,546
666,681,561;666,681,680;666,561,680;680,681,561
666,665,680;666,665,545;666,680,545;545,665,680
1968,1982,1983;1968,1982,1863;1968,1983,1863;1863,1982,1983
1968,1862,1847;1968,1862,1982;1968,1847,1982;1982,1862,1847
1968,1848,1847;1968,1848,1863;1968,1847,1863;1863,1848,1847
1968,1982,1847;1968,1982,1967;1968,1847,1967;1967,1982,1847
1968,1862,1982;1968,1862,1863;1968,1982,1863;1863,1862,1982
1968,1847,1862;1968,1847,1863;1968,1862,1863;1863,1847,1862
1984,1848,1863;1984,1848,1864;1984,1863,1864;1864,1848,1863
1984,1848,1968;1984,1848,1983;1984,1968,1983;1983,1848,1968
