545,2584,494;490,545,494;490,494,2584;2584,545,490
2583,549,494;550,2583,494;550,494,549;549,2583,550
2583,2584,494;549,2583,494;549,494,2584;2584,2583,549
496,2853,494;550,496,494;550,494,2853;2853,496,550
2853,496,494;495,2853,494;495,494,496;496,2853,495
2854,2853,494;495,2854,494;495,494,2853;2853,2854,495
490,2854,494;495,490,494;495,494,2854;2854,490,495
2854,2584,494;2853,2854,494;2853,494,2584;2584,2854,2853
2584,2854,494;490,2584,494;490,494,2854;2854,2584,490
2853,2583,494;550,2853,494;550,494,2583;2583,2853,550
2584,2583,494;2853,2584,494;2853,494,2583;2583,2584,2853
3367,324,373;381,3367,373;381,373,324;324,3367,381
430,429,3123;376,430,3123;376,3123,429;429,430,376
377,430,3123;376,377,3123;376,3123,430;430,377,376
562,500,555;2847,562,555;2847,555,500;500,562,2847
2578,562,555;2847,2578,555;2847,555,562;562,2578,2847
500,2846,555;2847,500,555;2847,555,2846;2846,500,2847
2846,2578,555;2847,2846,555;2847,555,2578;2578,2846,2847
894,843,896;1350,894,896;1350,896,843;843,894,1350
894,896,893;1350,894,893;1350,893,896;896,894,1350
896,951,893;1350,896,893;1350,893,951;951,896,1350
2846,500,3113;2847,2846,3113;2847,3113,500;500,2846,2847
1990,739,741;688,1990,741;688,741,739;739,1990,688
743,791,741;1741,743,741;1741,741,791;791,743,1741
839,1559,789;1544,839,789;1544,789,1559;1559,839,1544
1595,1812,784;780,1595,784;780,784,1812;1812,1595,780
4127,4141,3963;3947,4127,3963;3947,3963,4141;4141,4127,3947
3948,4127,3963;3947,3948,3963;3947,3963,4127;4127,3948,3947
4003,3801,4004;3990,4003,4004;3990,4004,3801;3801,4003,3990
3826,283,3607;284,3826,3607;284,3607,283;283,3826,284
2940,2672,2923;2939,2940,2923;2939,2923,2672;2672,2940,2939
762,1618,813;763,762,813;763,813,1618;1618,762,763
1618,813,812;762,1618,812;762,812,813;813,1618,762
1608,1618,812;762,1608,812;762,812,1618;1618,1608,762
1852,2095,2096;1853,1852,2096;1853,2096,2095;2095,1852,1853
2362,2346,2108;2347,2362,2108;2347,2108,2346;2346,2362,2347
881,1399,1388;834,881,1388;834,1388,1399;1399,881,834
1387,881,1388;885,1387,1388;885,1388,881;881,1387,885
881,1387,1388;1399,881,1388;1399,1388,1387;1387,881,1399
1387,938,886;1225,1387,886;1225,886,938;938,1387,1225
942,1225,886;943,942,886;943,886,1225;1225,942,943
