24,44,43;24,44,38;24,43,38;38,44,43
24,39,44;24,39,38;24,44,38;38,39,44
24,14,29;24,14,107;24,29,107;107,14,29
24,9,14;24,9,107;24,14,107;107,9,14
24,29,44;24,29,107;24,44,107;107,29,44
24,44,39;24,44,107;24,39,107;107,44,39
54,53,68;54,53,58;54,68,58;58,53,68
54,68,73;54,68,58;54,73,58;58,68,73
54,69,73;54,69,68;54,73,68;68,69,73
54,73,74;54,73,58;54,74,58;58,73,74
54,69,74;54,69,73;54,74,73;73,69,74
54,74,59;54,74,58;54,59,58;58,74,59
54,38,53;54,38,58;54,53,58;58,38,53
54,43,44;54,43,38;54,44,38;38,43,44
54,44,43;54,44,58;54,43,58;58,44,43
54,43,38;54,43,58;54,38,58;58,43,38
54,59,44;54,59,58;54,44,58;58,59,44
54,44,39;54,44,38;54,39,38;38,44,39
54,59,74;54,59,107;54,74,107;107,59,74
54,74,69;54,74,107;54,69,107;107,74,69
54,44,59;54,44,107;54,59,107;107,44,59
54,39,44;54,39,107;54,44,107;107,39,44
45,55,60;45,55,108;45,60,108;108,55,60
45,40,55;45,40,108;45,55,108;108,40,55
25,30,15;25,30,108;25,15,108;108,30,15
25,15,10;25,15,108;25,10,108;108,15,10
25,45,30;25,45,108;25,30,108;108,45,30
25,40,45;25,40,108;25,45,108;108,40,45
41,30,46;41,30,31;41,46,31;31,30,46
41,26,30;41,26,31;41,30,31;31,26,30
41,40,45;41,40,30;41,45,30;30,40,45
41,30,45;41,30,46;41,45,46;46,30,45
41,26,25;41,26,30;41,25,30;30,26,25
41,25,40;41,25,30;41,40,30;30,25,40
41,31,46;41,31,42;41,46,42;42,31,46
41,22,27;41,22,42;41,27,42;42,22,27
41,27,22;41,27,31;41,22,31;31,27,22
41,27,31;41,27,42;41,31,42;42,27,31
41,22,26;41,22,31;41,26,31;31,22,26
41,37,22;41,37,42;41,22,42;42,37,22
41,55,56;41,55,61;41,56,61;61,55,56
41,46,60;41,46,61;41,60,61;61,46,60
41,60,40;41,60,55;41,40,55;55,60,40
41,60,55;41,60,61;41,55,61;61,60,55
41,45,60;41,45,46;41,60,46;46,45,60
41,45,40;41,45,60;41,40,60;60,45,40
41,61,57;41,61,42;41,57,42;42,61,57
41,52,57;41,52,61;41,57,61;61,52,57
41,57,52;41,57,42;41,52,42;42,57,52
41,46,61;41,46,42;41,61,42;42,46,61
41,56,52;41,56,61;41,52,61;61,56,52
41,52,37;41,52,42;41,37,42;42,52,37
35,36,21;35,36,26;35,21,26;26,36,21
35,20,25;35,20,26;35,25,26;26,20,25
35,21,20;35,21,26;35,20,26;26,21,20
35,25,40;35,25,26;35,40,26;26,25,40
35,40,41;35,40,26;35,41,26;26,40,41
35,41,36;35,41,26;35,36,26;26,41,36
35,21,36;35,21,1;35,36,1;1,21,36
35,20,21;35,20,1;35,21,1;1,20,21
81,62,77;81,62,1;81,77,1;1,62,77
81,66,62;81,66,1;81,62,1;1,66,62
82,73,68;82,73,72;82,68,72;72,73,68
82,88,73;82,88,72;82,73,72;72,88,73
82,68,67;82,68,72;82,67,72;72,68,67
82,68,73;82,68,88;82,73,88;88,68,73
82,87,88;82,87,72;82,88,72;72,87,88
82,83,68;82,83,88;82,68,88;88,83,68
98,103,88;98,103,102;98,88,102;102,103,88
98,88,87;98,88,102;98,87,102;102,88,87
98,87,97;98,87,102;98,97,102;102,87,97
98,83,87;98,83,88;98,87,88;88,83,87
98,82,97;98,82,87;98,97,87;87,82,97
98,83,82;98,83,87;98,82,87;87,83,82
98,102,7;98,102,12;98,7,12;12,102,7
98,7,8;98,7,12;98,8,12;12,7,8
98,13,102;98,13,12;98,102,12;12,13,102
98,8,13;98,8,12;98,13,12;12,8,13
98,13,103;98,13,102;98,103,102;102,13,103
98,97,7;98,97,102;98,7,102;102,97,7
98,14,13;98,14,8;98,13,8;8,14,13
98,104,13;98,104,14;98,13,14;14,104,13
98,9,104;98,9,14;98,104,14;14,9,104
98,9,14;98,9,8;98,14,8;8,9,14
98,104,103;98,104,13;98,103,13;13,104,103
98,9,99;98,9,104;98,99,104;104,9,99
3,9,4;3,9,94;3,4,94;94,9,4
3,9,99;3,9,8;3,99,8;8,9,99
3,99,98;3,99,8;3,98,8;8,99,98
3,99,9;3,99,94;3,9,94;94,99,9
3,93,99;3,93,94;3,99,94;94,93,99
3,98,99;3,98,93;3,99,93;93,98,99
3,97,7;3,97,8;3,7,8;8,97,7
3,97,92;3,97,7;3,92,7;7,97,92
