134,168,169;134,168,140;134,169,140;140,168,169
134,161,168;134,161,140;134,168,140;140,161,168
134,168,161;134,168,169;134,161,169;169,168,161
134,169,141;134,169,140;134,141,140;140,169,141
134,133,161;134,133,140;134,161,140;140,133,161
134,161,162;134,161,169;134,162,169;169,161,162
134,154,126;134,154,155;134,126,155;155,154,126
134,126,127;134,126,155;134,127,155;155,126,127
134,133,126;134,133,161;134,126,161;161,133,126
134,162,161;134,162,155;134,161,155;155,162,161
134,126,154;134,126,161;134,154,161;161,126,154
134,161,154;134,161,155;134,154,155;155,161,154
134,98,105;134,98,99;134,105,99;99,98,105
134,126,105;134,126,98;134,105,98;98,126,105
134,127,98;134,127,99;134,98,99;99,127,98
134,126,133;134,126,105;134,133,105;105,126,133
134,127,126;134,127,98;134,126,98;98,127,126
134,105,106;134,105,99;134,106,99;99,105,106
190,169,191;190,169,163;190,191,163;163,169,191
190,156,169;190,156,163;190,169,163;163,156,169
190,197,191;190,197,169;190,191,169;169,197,191
190,191,156;190,191,163;190,156,163;163,191,156
190,184,156;190,184,191;190,156,191;191,184,156
190,156,162;190,156,169;190,162,169;169,156,162
190,183,155;190,183,177;190,155,177;177,183,155
190,156,184;190,156,177;190,184,177;177,156,184
190,155,149;190,155,177;190,149,177;177,155,149
190,149,156;190,149,177;190,156,177;177,149,156
190,156,149;190,156,155;190,149,155;155,156,149
190,162,156;190,162,155;190,156,155;155,162,156
190,191,197;190,191,219;190,197,219;219,191,197
190,212,191;190,212,219;190,191,219;219,212,191
190,218,212;190,218,219;190,212,219;219,218,212
190,197,225;190,197,219;190,225,219;219,197,225
190,225,218;190,225,219;190,218,219;219,225,218
190,212,184;190,212,191;190,184,191;191,212,184
190,169,168;190,169,196;190,168,196;196,169,168
190,196,168;190,196,189;190,168,189;189,196,168
190,197,169;190,197,196;190,169,196;196,197,169
190,168,161;190,168,189;190,161,189;189,168,161
190,161,168;190,161,169;190,168,169;169,161,168
190,162,161;190,162,169;190,161,169;169,162,161
190,161,182;190,161,189;190,182,189;189,161,182
190,183,182;190,183,155;190,182,155;155,183,182
190,182,154;190,182,155;190,154,155;155,182,154
190,161,162;190,161,155;190,162,155;155,161,162
190,154,161;190,154,155;190,161,155;155,154,161
190,154,182;190,154,161;190,182,161;161,154,182
69,77,98;69,77,70;69,98,70;70,77,98
69,105,77;69,105,76;69,77,76;76,105,77
69,105,104;69,105,97;69,104,97;97,105,104
69,77,105;69,77,98;69,105,98;98,77,105
69,105,97;69,105,98;69,97,98;98,105,97
69,104,105;69,104,76;69,105,76;76,104,105
67,66,45;67,66,38;67,45,38;38,66,45
67,45,74;67,45,46;67,74,46;46,45,74
67,38,45;67,38,46;67,45,46;46,38,45
67,39,38;67,39,46;67,38,46;46,39,38
67,73,74;67,73,45;67,74,45;45,73,74
67,73,45;67,73,66;67,45,66;66,73,45
31,30,2;31,30,1;31,2,1;1,30,2
31,2,3;31,2,1;31,3,1;1,2,3
10,45,38;10,45,46;10,38,46;46,45,38
10,18,45;10,18,46;10,45,46;46,18,45
10,11,18;10,11,46;10,18,46;46,11,18
10,39,11;10,39,46;10,11,46;46,39,11
10,38,39;10,38,46;10,39,46;46,38,39
10,18,17;10,18,45;10,17,45;45,18,17
112,139,132;112,139,140;112,132,140;140,139,132
