417,534,432;432,534,535;535,417,432;535,534,417
535,534,432;432,534,549;549,535,432;549,534,535
549,565,432;432,565,550;550,549,432;550,565,549
549,564,432;432,564,565;565,549,432;565,564,549
565,448,432;432,448,550;550,565,432;550,448,565
564,448,432;432,448,565;565,564,432;565,448,564
564,447,432;432,447,448;448,564,432;448,447,564
448,433,432;432,433,550;550,448,432;550,433,448
529,646,632;632,646,514;514,529,632;514,646,529
530,529,632;632,529,514;514,530,632;514,529,530
529,530,632;632,530,646;646,529,632;646,530,529
515,530,632;632,530,514;514,515,632;514,530,515
530,647,632;632,647,646;646,530,632;646,647,530
646,631,632;632,631,514;514,646,632;514,631,646
1892,1891,1878;1878,1891,1778;1778,1892,1878;1778,1891,1892
1762,1777,1878;1878,1777,1891;1891,1762,1878;1891,1777,1762
1762,1763,1878;1878,1763,1778;1778,1762,1878;1778,1763,1762
1762,1891,1878;1878,1891,1877;1877,1762,1878;1877,1891,1762
1891,1777,1878;1878,1777,1778;1778,1891,1878;1778,1777,1891
1777,1762,1878;1878,1762,1778;1778,1777,1878;1778,1762,1777
1778,1763,1893;1893,1763,1779;1779,1778,1893;1779,1763,1778
1878,1763,1893;1893,1763,1892;1892,1878,1893;1892,1763,1878
1892,1763,1893;1893,1763,1778;1778,1892,1893;1778,1763,1892
1764,1763,1893;1893,1763,1879;1879,1764,1893;1879,1763,1764
1763,1764,1893;1893,1764,1779;1779,1763,1893;1779,1764,1763
1763,1878,1893;1893,1878,1879;1879,1763,1893;1879,1878,1763
1907,1793,1893;1893,1793,1908;1908,1907,1893;1908,1793,1907
1793,1794,1893;1893,1794,1908;1908,1793,1893;1908,1794,1793
1779,1794,1893;1893,1794,1793;1793,1779,1893;1793,1794,1779
1907,1778,1893;1893,1778,1793;1793,1907,1893;1793,1778,1907
1778,1779,1893;1893,1779,1793;1793,1778,1893;1793,1779,1778
1892,1778,1893;1893,1778,1907;1907,1892,1893;1907,1778,1892
1795,1794,1893;1893,1794,1779;1779,1795,1893;1779,1794,1795
1795,1909,1893;1893,1909,1908;1908,1795,1893;1908,1909,1795
1795,1780,1893;1893,1780,1894;1894,1795,1893;1894,1780,1795
1794,1795,1893;1893,1795,1908;1908,1794,1893;1908,1795,1794
1780,1795,1893;1893,1795,1779;1779,1780,1893;1779,1795,1780
1909,1795,1893;1893,1795,1894;1894,1909,1893;1894,1795,1909
558,660,544;544,660,543;543,558,544;543,660,558
559,675,544;544,675,558;558,559,544;558,675,559
558,675,544;544,675,660;660,558,544;660,675,558
675,676,544;544,676,660;660,675,544;660,676,675
559,676,544;544,676,675;675,559,544;675,676,559
676,661,544;544,661,660;660,676,544;660,661,676
442,559,544;544,559,558;558,442,544;558,559,442
426,558,544;544,558,543;543,426,544;543,558,426
426,441,544;544,441,558;558,426,544;558,441,426
426,427,544;544,427,442;442,426,544;442,427,426
441,442,544;544,442,558;558,441,544;558,442,441
441,426,544;544,426,442;442,441,544;442,426,441
560,428,544;544,428,545;545,560,544;545,428,560
560,559,544;544,559,442;442,560,544;442,559,560
427,428,544;544,428,442;442,427,544;442,428,427
428,443,544;544,443,442;442,428,544;442,443,428
443,560,544;544,560,442;442,443,544;442,560,443
560,443,544;544,443,428;428,560,544;428,443,560
529,530,544;544,530,413;413,529,544;413,530,529
530,545,544;544,545,413;413,530,544;413,545,530
545,428,544;544,428,413;413,545,544;413,428,545
428,427,544;544,427,413;413,428,544;413,427,428
412,529,544;544,529,413;413,412,544;413,529,412
427,412,544;544,412,413;413,427,544;413,412,427
530,529,662;662,529,646;646,530,662;646,529,530
647,530,662;662,530,646;646,647,662;646,530,647
545,529,662;662,529,530;530,545,662;530,529,545
529,661,662;662,661,646;646,529,662;646,661,529
544,661,662;662,661,529;529,544,662;529,661,544
544,529,662;662,529,545;545,544,662;545,529,544
676,559,662;662,559,677;677,676,662;677,559,676
560,559,662;662,559,545;545,560,662;545,559,560
559,560,662;662,560,677;677,559,662;677,560,559
676,661,662;662,661,559;559,676,662;559,661,676
559,544,662;662,544,545;545,559,662;545,544,559
661,544,662;662,544,559;559,661,662;559,544,661
677,560,662;662,560,561;561,677,662;561,560,677
560,545,662;662,545,561;561,560,662;561,545,560
545,546,662;662,546,561;561,545,662;561,546,545
546,663,662;662,663,561;561,546,662;561,663,546
678,677,662;662,677,561;561,678,662;561,677,678
663,678,662;662,678,561;561,663,662;561,678,663
676,677,662;662,677,791;791,676,662;791,677,676
677,792,662;662,792,791;791,677,662;791,792,677
676,791,662;662,791,777;777,676,662;777,791,676
791,792,662;662,792,777;777,791,662;777,792,791
792,778,662;662,778,777;777,792,662;777,778,792
661,676,662;662,676,777;777,661,662;777,676,661
763,647,662;662,647,646;646,763,662;646,647,763
762,763,662;662,763,646;646,762,662;646,763,762
778,763,662;662,763,777;777,778,662;777,763,778
646,661,662;662,661,777;777,646,662;777,661,646
762,646,662;662,646,777;777,762,662;777,646,762
763,762,662;662,762,777;777,763,662;777,762,763
914,801,787;787,801,915;915,914,787;915,801,914
900,914,787;787,914,915;915,900,787;915,914,900
900,899,787;787,899,914;914,900,787;914,899,900
914,899,787;787,899,801;801,914,787;801,899,914
801,802,787;787,802,915;915,801,787;915,802,801
899,786,787;787,786,801;801,899,787;801,786,899
899,900,787;787,900,885;885,899,787;885,900,899
772,899,787;787,899,885;885,772,787;885,899,772
900,886,787;787,886,885;885,900,787;885,886,900
886,772,787;787,772,885;885,886,787;885,772,886
886,773,787;787,773,772;772,886,787;772,773,886
786,899,787;787,899,772;772,786,787;772,899,786
801,800,898;898,800,785;785,801,898;785,800,801
801,914,898;898,914,800;800,801,898;800,914,801
899,914,898;898,914,801;801,899,898;801,914,899
786,801,898;898,801,785;785,786,898;785,801,786
786,899,898;898,899,801;801,786,898;801,899,786
914,913,898;898,913,800;800,914,898;800,913,914
775,873,874;874,873,760;760,775,874;760,873,775
776,775,874;874,775,760;760,776,874;760,775,776
761,776,874;874,776,760;760,761,874;760,776,761
888,775,874;874,775,776;776,888,874;776,775,888
775,888,874;874,888,873;873,775,874;873,888,775
889,888,874;874,888,776;776,889,874;776,888,889
857,743,843;843,743,871;871,857,843;871,743,857
858,871,843;843,871,744;744,858,843;744,871,858
743,731,843;843,731,744;744,743,843;744,731,743
743,758,843;843,758,871;871,743,843;871,758,743
758,743,843;843,743,744;744,758,843;744,743,758
871,758,843;843,758,744;744,871,843;744,758,871
792,677,779;779,677,793;793,792,779;793,677,792
792,778,779;779,778,677;677,792,779;677,778,792
677,678,779;779,678,793;793,677,779;793,678,677
663,678,779;779,678,677;677,663,779;677,678,663
662,663,779;779,663,677;677,662,779;677,663,662
778,662,779;779,662,677;677,778,779;677,662,778
1115,1101,989;989,1101,1100;1100,1115,989;1100,1101,1115
1002,1114,989;989,1114,988;988,1002,989;988,1114,1002
988,1114,989;989,1114,1100;1100,988,989;1100,1114,988
1114,1003,989;989,1003,1115;1115,1114,989;1115,1003,1114
1114,1115,989;989,1115,1100;1100,1114,989;1100,1115,1114
1114,1002,989;989,1002,1003;1003,1114,989;1003,1002,1114
1101,1115,989;989,1115,1102;1102,1101,989;1102,1115,1101
1115,1116,989;989,1116,1102;1102,1115,989;1102,1116,1115
1996,990,989;989,990,1116;1116,1996,989;1116,990,1996
1003,1116,989;989,1116,1115;1115,1003,989;1115,1116,1003
1116,990,989;989,990,1102;1102,1116,989;1102,990,1116
1996,1116,989;989,1116,1003;1003,1996,989;1003,1116,1996
886,1003,989;989,1003,885;885,886,989;885,1003,886
871,886,989;989,886,885;885,871,989;885,886,871
990,886,989;989,886,871;871,990,989;871,886,990
990,1996,989;989,1996,886;886,990,989;886,1996,990
870,871,989;989,871,885;885,870,989;885,871,870
1996,1003,989;989,1003,886;886,1996,989;886,1003,1996
1115,1101,1216;1216,1101,1102;1102,1115,1216;1102,1101,1115
1116,1115,1216;1216,1115,1102;1102,1116,1216;1102,1115,1116
1116,1102,1216;1216,1102,1232;1232,1116,1216;1232,1102,1116
1115,1116,1216;1216,1116,1232;1232,1115,1216;1232,1116,1115
1231,1115,1216;1216,1115,1232;1232,1231,1216;1232,1115,1231
1102,1217,1216;1216,1217,1232;1232,1102,1216;1232,1217,1102
775,776,902;902,776,790;790,775,902;790,776,775
776,903,902;902,903,790;790,776,902;790,903,776
789,775,902;902,775,790;790,789,902;790,775,789
775,888,902;902,888,776;776,775,902;776,888,775
889,903,902;902,903,776;776,889,902;776,903,889
888,889,902;902,889,776;776,888,902;776,889,888
1020,1021,902;902,1021,1005;1005,1020,902;1005,1021,1020
1006,889,902;902,889,1005;1005,1006,902;1005,889,1006
889,888,902;902,888,1005;1005,889,902;1005,888,889
903,889,902;902,889,1021;1021,903,902;1021,889,903
889,1006,902;902,1006,1021;1021,889,902;1021,1006,889
1021,1006,902;902,1006,1005;1005,1021,902;1005,1006,1021
1004,901,902;902,901,1019;1019,1004,902;1019,901,1004
1005,1004,902;902,1004,1019;1019,1005,902;1019,1004,1005
887,1004,902;902,1004,1005;1005,887,902;1005,1004,887
1004,887,902;902,887,901;901,1004,902;901,887,1004
888,887,902;902,887,1005;1005,888,902;1005,887,888
1020,1005,902;902,1005,1019;1019,1020,902;1019,1005,1020
993,1104,1007;1007,1104,1105;1105,993,1007;1105,1104,993
1104,1120,1007;1007,1120,1105;1105,1104,1007;1105,1120,1104
993,992,1007;1007,992,1104;1104,993,1007;1104,992,993
992,1119,1007;1007,1119,1104;1104,992,1007;1104,1119,992
1119,1120,1007;1007,1120,1104;1104,1119,1007;1104,1120,1119
1006,1119,1007;1007,1119,992;992,1006,1007;992,1119,1006
1021,1133,1007;1007,1133,1132;1132,1021,1007;1132,1133,1021
1133,1120,1007;1007,1120,1132;1132,1133,1007;1132,1120,1133
1119,1006,1007;1007,1006,1021;1021,1119,1007;1021,1006,1119
1022,1133,1007;1007,1133,1021;1021,1022,1007;1021,1133,1022
1119,1021,1007;1007,1021,1132;1132,1119,1007;1132,1021,1119
1120,1119,1007;1007,1119,1132;1132,1120,1007;1132,1119,1120
213,325,340;340,325,214;214,213,340;214,325,213
213,228,340;340,228,339;339,213,340;339,228,213
228,213,340;340,213,214;214,228,340;214,213,228
324,213,340;340,213,339;339,324,340;339,213,324
229,228,340;340,228,214;214,229,340;214,228,229
213,324,340;340,324,325;325,213,340;325,324,213
681,796,781;781,796,1951;1951,681,781;1951,796,681
666,681,781;781,681,1951;1951,666,781;1951,681,666
565,549,667;667,549,550;550,565,667;550,549,565
564,549,667;667,549,565;565,564,667;565,549,564
564,666,667;667,666,549;549,564,667;549,666,564
682,564,667;667,564,565;565,682,667;565,564,682
682,681,667;667,681,564;564,682,667;564,681,682
681,666,667;667,666,564;564,681,667;564,666,681
682,797,667;667,797,796;796,682,667;796,797,682
666,681,667;667,681,796;796,666,667;796,681,666
681,682,667;667,682,796;796,681,667;796,682,681
797,782,667;667,782,796;796,797,667;796,782,797
781,666,667;667,666,796;796,781,667;796,666,781
782,781,667;667,781,796;796,782,667;796,781,782
